,userId,movieId,rating,timestamp
0,1,0,4.0,964982703
1,1,2,4.0,964981247
2,1,5,4.0,964982224
3,1,43,5.0,964983815
4,1,46,5.0,964982931
5,1,62,3.0,964982400
6,1,89,5.0,964980868
7,1,97,4.0,964982176
8,1,124,5.0,964984041
9,1,130,5.0,964984100
10,1,136,5.0,964983650
11,1,184,5.0,964981208
12,1,190,3.0,964980985
13,1,197,5.0,964981179
14,1,201,4.0,964980908
15,1,224,5.0,964981680
16,1,257,3.0,964982967
17,1,275,3.0,964982310
18,1,291,5.0,964981179
19,1,307,4.0,964982563
20,1,314,4.0,964980962
21,1,320,5.0,964982588
22,1,325,4.0,964981710
23,1,367,3.0,964982363
24,1,384,4.0,964980868
25,1,398,5.0,964981909
26,1,418,4.0,964982346
27,1,436,3.0,964981208
28,1,461,5.0,964984002
29,1,476,4.0,964981179
30,1,484,4.0,964982653
31,1,485,5.0,964984153
32,1,508,4.0,964982546
33,1,509,4.0,964982271
34,1,510,4.0,964983793
35,1,513,5.0,964982838
36,1,520,5.0,964982931
37,1,546,3.0,964982563
38,1,551,5.0,964982838
39,1,559,3.0,964981775
40,1,592,4.0,964982400
41,1,594,3.0,964982653
42,1,615,3.0,964984086
43,1,632,4.0,964980499
44,1,701,5.0,964982475
45,1,705,5.0,964981529
46,1,720,5.0,964982176
47,1,723,4.0,964983614
48,1,734,5.0,964983219
49,1,767,3.0,964981775
50,1,781,5.0,964982681
51,1,782,5.0,964982876
52,1,783,5.0,964982791
53,1,786,5.0,964982855
54,1,787,3.0,964982903
55,1,788,5.0,964982653
56,1,789,5.0,964982791
57,1,797,4.0,964981179
58,1,801,5.0,964982400
59,1,810,4.0,964980924
60,1,815,5.0,964981680
61,1,819,5.0,964981327
62,1,827,5.0,964982951
63,1,828,4.0,964984018
64,1,830,5.0,964983484
65,1,835,5.0,964981680
66,1,855,4.0,964982513
67,1,862,5.0,964981327
68,1,897,5.0,964981827
69,1,898,5.0,964981872
70,1,899,5.0,964981827
71,1,906,5.0,964983737
72,1,908,4.0,964983250
73,1,910,5.0,964980499
74,1,913,5.0,964982951
75,1,914,4.0,964981855
76,1,919,2.0,964983393
77,1,920,5.0,964981909
78,1,922,5.0,964981909
79,1,924,5.0,964984018
80,1,926,5.0,964983618
81,1,938,5.0,964983723
82,1,954,5.0,964981442
83,1,956,3.0,964983414
84,1,963,4.0,964983599
85,1,968,5.0,964983705
86,1,973,5.0,964982290
87,1,976,5.0,964983414
88,1,980,5.0,964982703
89,1,989,5.0,964981909
90,1,995,5.0,964984086
91,1,1035,4.0,964983393
92,1,1059,3.0,964982653
93,1,1075,3.0,964983017
94,1,1083,3.0,964982310
95,1,1109,3.0,964984112
96,1,1125,4.0,964980875
97,1,1145,4.0,964980985
98,1,1153,5.0,964981107
99,1,1170,4.0,964982620
100,1,1180,5.0,964982290
101,1,1182,3.0,964981125
102,1,1189,5.0,964982346
103,1,1217,5.0,964982951
104,1,1219,4.0,964983056
105,1,1223,5.0,964983504
106,1,1234,3.0,964983536
107,1,1260,3.0,964982620
108,1,1297,5.0,964981125
109,1,1318,4.0,964981230
110,1,1325,4.0,964981404
111,1,1331,5.0,964983034
112,1,1332,4.0,964983056
113,1,1400,4.0,964981780
114,1,1406,5.0,964981497
115,1,1430,5.0,964982176
116,1,1443,4.0,964981710
117,1,1474,4.0,964982211
118,1,1479,5.0,964981710
119,1,1486,4.0,964984176
120,1,1492,5.0,964980523
121,1,1502,4.0,964981888
122,1,1504,5.0,964982903
123,1,1515,4.0,964982563
124,1,1516,5.0,964982791
125,1,1521,4.0,964981747
126,1,1525,5.0,964982400
127,1,1542,5.0,964982838
128,1,1552,5.0,964982838
129,1,1555,3.0,964981710
130,1,1556,5.0,964982653
131,1,1558,4.0,964982838
132,1,1561,4.0,964982588
133,1,1566,4.0,964981725
134,1,1575,5.0,964982529
135,1,1576,5.0,964982876
